Date,Price,Open,High,Low,Vol.,Change %,,Date2,Price2,,Date(Month),Date(Year),,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
10/11/2018,369.25,362,373,360.25,233.12,0.018,,,,,10,2018,,,,,,,,,,,,,,,,,,,,,
10/10/2018,362.75,364.5,365.25,362,121.04,-0.005,,,,,10,2018,,,,,,,,,,,,,,,,,,,,,
10/9/2018,364.5,366.5,368,363.75,119.57,-0.006,,,,,10,2018,,,,,,,,,,,,,,,,,,,,,
10/8/2018,366.5,368.5,369.5,364.25,122.01,-0.005,,,,,10,2018,,,,,,,,,,,,,,,,,,,,,
10/5/2018,368.25,367.5,369.5,363,204.82,0.002,,,,,10,2018,,,,,,,,,,,,,,,,,,,,,
10/4/2018,367.5,364.75,368.5,364.75,130.83,0.008,,,,,10,2018,,,,,,,,,,,,,,,,,,,,,
10/3/2018,364.75,367.75,369,364.5,139.28,-0.008,,,,,10,2018,,,,,,,,,,,,,,,,,,,,,
10/2/2018,367.5,365,369,363.25,206.15,0.005,,,,,10,2018,,,,,,,,,,,,,,,,,,,,,
10/1/2018,365.75,356.75,366.5,356.5,214.37,0.027,,,,,10,2018,,,,,,,,,,,,,,,,,,,,,
9/28/2018,356.25,364.5,366.75,354.5,237.21,-0.023,,,,,9,2018,,,,,,,,,,,,,,,,,,,,,
9/27/2018,364.75,363,365.75,361.25,113.91,0.005,,,,,9,2018,,,,,,,,,,,,,,,,,,,,,
9/26/2018,363,363.5,364.75,361.25,137.9,-0.002,,,,,9,2018,,,,,,,,,,,,,,,,,,,,,
9/25/2018,363.75,360.25,364.25,357.5,187.87,0.009,,,,,9,2018,,,,,,,,,,,,,,,,,,,,,
9/24/2018,360.5,357.25,362,355.75,148.37,0.009,,,,,9,2018,,,,,,,,,,,,,,,,,,,,,
9/21/2018,357.25,352.5,357.75,352.25,156.11,0.014,,,,,9,2018,,,,,,,,,,,,,,,,,,,,,
9/20/2018,352.5,345.25,356.25,344.75,266.8,0.02,,,,,9,2018,,,,,,,,,,,,,,,,,,,,,
9/19/2018,345.75,343,346.75,343,151.07,0.007,,,,,9,2018,,,,,,,,,,,,,,,,,,,,,
9/18/2018,343.25,348,348.75,342.5,199.08,-0.014,,,,,9,2018,,,,,,,,,,,,,,,,,,,,,
9/17/2018,348,351,351.75,347.75,145.27,0.033,,,,,9,2018,,,,,,,,,,,,,,,,,,,,,
9/14/2018,337,338.5,338.75,337.5,0.06,0.002,,,,,9,2018,,,,,,,,,,,,,,,,,,,,,
9/13/2018,336.25,344.5,344.5,337,0.13,-0.015,,,,,9,2018,,,,,,,,,,,,,,,,,,,,,
9/12/2018,341.5,354.25,354.5,340.5,0.41,-0.039,,,,,9,2018,,,,,,,,,,,,,,,,,,,,,
9/11/2018,355.25,357.25,357.25,354.75,0.29,-0.001,,,,,9,2018,,,,,,,,,,,,,,,,,,,,,
9/10/2018,355.5,353.25,356,353,1.26,0.004,,,,,9,2018,,,,,,,,,,,,,,,,,,,,,
9/7/2018,354.25,352.75,355.75,351,0.69,0.002,,,,,9,2018,,,,,,,,,,,,,,,,,,,,,
9/6/2018,353.5,353.5,354.5,350.75,2.16,0.005,,,,,9,2018,,,,,,,,,,,,,,,,,,,,,
9/5/2018,351.75,356,356,351,3.51,-0.008,,,,,9,2018,,,,,,,,,,,,,,,,,,,,,
9/4/2018,354.5,351.5,355.25,347.25,4.87,0.01,,,,,9,2018,,,,,,,,,,,,,,,,,,,,,
8/31/2018,351,341,352,340.75,17.11,0.029,,,,,8,2018,,,,,,,,,,,,,,,,,,,,,
8/30/2018,341,341.5,344,340.5,122.61,-0.001,,,,,8,2018,,,,,,,,,,,,,,,,,,,,,
8/29/2018,341.25,341,344,340.25,113.2,0.001,,,,,8,2018,,,,,,,,,,,,,,,,,,,,,
8/28/2018,341,345.75,347.75,340.75,143.2,-0.017,,,,,8,2018,,,,,,,,,,,,,,,,,,,,,
8/27/2018,346.75,348.5,348.75,343,139.29,-0.005,,,,,8,2018,,,,,,,,,,,,,,,,,,,,,
8/24/2018,348.5,346.5,350,346.25,124.75,0.005,,,,,8,2018,,,,,,,,,,,,,,,,,,,,,
8/23/2018,346.75,353,355,346.25,144.61,-0.016,,,,,8,2018,,,,,,,,,,,,,,,,,,,,,
8/22/2018,352.5,359.25,359.25,352.25,102.51,-0.02,,,,,8,2018,,,,,,,,,,,,,,,,,,,,,
8/21/2018,359.75,362.75,363.75,358.5,98.59,-0.006,,,,,8,2018,,,,,,,,,,,,,,,,,,,,,
8/20/2018,362,365.25,366,359.5,88.31,-0.006,,,,,8,2018,,,,,,,,,,,,,,,,,,,,,
8/17/2018,364.25,365,367.75,361.75,82.45,-0.003,,,,,8,2018,,,,,,,,,,,,,,,,,,,,,
8/16/2018,365.25,361.5,367.5,360.5,79.36,0.01,,,,,8,2018,,,,,,,,,,,,,,,,,,,,,
8/15/2018,361.5,362.25,363.5,359,102.54,-0.002,,,,,8,2018,,,,,,,,,,,,,,,,,,,,,
8/14/2018,362.25,356.5,363,356.5,101.21,0.016,,,,,8,2018,,,,,,,,,,,,,,,,,,,,,
8/13/2018,356.5,357.5,358,352.25,178.69,-0.004,,,,,8,2018,,,,,,,,,,,,,,,,,,,,,
8/10/2018,357.75,368.5,369.75,357,182.4,-0.031,,,,,8,2018,,,,,,,,,,,,,,,,,,,,,
8/9/2018,369.25,371,372.75,366.5,148.24,-0.005,,,,,8,2018,,,,,,,,,,,,,,,,,,,,,
8/8/2018,371.25,370.5,373.75,370,123.37,0.001,,,,,8,2018,,,,,,,,,,,,,,,,,,,,,
